Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=4e4b4549e3aeff67a991c518ade63f84&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=LE&INSTR_ASSET.252=F3&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T
2015Q4,3561.00,3928.54,20.00,0.00,42400.00,15150.00,4785.00,3.22,1953.00,1000.00,1299.00,0.73,23311.00,76.00,3245.00,5.11,257.81,14.60,135.71,487.00,725.49,1127.56,0.00,18802.00,28.98,406.68
2015Q3,3501.00,4089.04,16.00,1.70,43393.00,15306.00,4694.00,2.47,2012.00,894.00,1310.00,0.76,27897.00,0.00,3112.00,14.78,242.66,12.90,99.23,490.00,649.48,1072.50,0.00,17961.00,18.58,421.68
2015Q2,3517.00,4065.46,15.00,1.80,43092.00,15468.00,4622.00,1.83,1961.00,1032.00,1488.00,0.85,27917.00,0.00,3072.00,15.27,119.35,12.50,100.76,495.00,462.91,1162.61,0.00,17432.00,17.23,395.74
2015Q1,3678.00,4384.36,7.00,1.80,40157.00,16570.00,4688.00,2.98,2213.00,1099.00,1476.00,0.78,28653.00,0.00,2571.00,15.83,116.51,10.90,99.98,525.00,476.74,1539.54,0.00,16878.00,19.32,376.55
2014Q4,3716.00,4501.94,7.00,37.00,41081.00,15901.00,4178.00,2.80,2550.00,1107.00,1420.00,1.48,24489.00,0.00,3117.00,16.28,111.25,10.70,99.90,541.00,283.20,1805.11,0.00,15908.00,28.82,435.43
2014Q3,4251.00,5019.40,7.00,37.40,39299.00,16180.00,4388.00,2.78,2540.00,1140.00,1450.00,1.46,22610.00,8.00,2753.00,16.86,118.77,19.10,105.96,624.00,303.23,2219.47,0.00,15660.00,25.18,418.43
2014Q2,4397.00,5040.15,8.00,37.10,36417.00,16312.00,4471.00,2.75,3501.00,1155.00,3686.00,1.50,20944.00,8.00,2420.00,15.99,108.53,13.10,105.08,701.00,317.14,2214.99,0.00,15535.00,29.76,391.09
2014Q1,4427.00,5144.47,8.00,39.00,31774.00,15810.00,4458.00,2.94,3617.00,1216.00,4126.00,2.96,28830.00,8.00,2476.00,15.39,108.55,12.60,69.22,794.00,326.29,2465.80,0.00,15230.00,35.82,391.88
2013Q4,4301.00,5144.48,9.00,39.30,31437.00,15696.00,4406.00,2.93,3636.00,819.00,4271.00,3.27,28315.00,9.00,2404.00,11.91,102.47,11.40,69.59,925.00,338.42,2385.09,0.00,14589.00,30.86,387.19
2013Q3,4025.00,,9.00,42.50,28881.00,15728.00,4903.00,4.20,2378.00,796.00,4258.00,0.00,29044.00,,659.00,3.58,110.61,11.00,,1029.00,345.56,,0.00,14630.00,29.73,385.58
2013Q2,4122.00,,9.00,42.50,28308.00,14923.00,4566.00,4.10,2083.00,762.00,4452.00,0.00,27391.00,,938.00,3.58,105.88,10.90,,1146.00,292.44,,0.00,14475.00,28.67,381.03
2013Q1,3930.00,,9.00,42.50,26114.00,15511.00,4446.00,4.30,2268.00,785.00,4607.00,0.00,28459.00,,933.00,4.84,112.02,10.60,,1391.00,326.97,,0.00,14546.00,27.58,385.74
2012Q4,3774.00,,9.00,14.20,22247.00,,5150.00,7.50,3149.00,741.00,4565.00,0.00,29931.00,,1447.00,4.99,115.27,4.60,,1521.00,380.58,,0.00,15018.00,31.80,343.46
2012Q3,3998.00,,7.00,,10261.00,,,7.30,1396.00,671.00,4515.00,,23128.00,,1018.00,9.58,102.49,3.10,,1692.00,,,0.00,14830.00,25.59,361.23
2012Q2,3660.00,,8.00,,6998.00,,,7.20,2141.00,617.00,4568.00,,25532.00,,1636.00,9.10,93.45,2.40,,1793.00,,,0.00,14561.00,26.22,386.30
2012Q1,3494.00,,8.00,,5827.00,,,10.70,1187.00,564.00,4537.00,,34491.00,,4309.00,8.59,90.05,1.50,,1902.00,,,0.00,14559.00,31.41,392.48
2011Q4,3269.00,,8.00,,5051.00,,,10.50,801.00,,4376.00,,38304.00,,,4.43,81.16,1.50,,1903.00,,,0.00,14406.00,34.31,405.30
2011Q3,3155.00,,8.00,,5124.00,,,9.20,447.00,,4323.00,,42453.00,,,4.40,74.69,2.30,,2013.00,,,0.00,13199.00,30.30,412.78
2011Q2,3099.00,,9.00,,5049.00,,,9.10,702.00,,4462.00,,41650.00,,,4.40,74.15,2.60,,2105.00,,,0.00,12585.00,36.35,417.97
2011Q1,2969.00,,10.00,,5268.00,,,8.70,1259.00,,4453.00,,41246.00,,,5.23,73.55,2.30,,1660.00,,,0.00,10457.00,38.53,402.62
2010Q4,2826.00,,10.00,,6425.00,,,9.47,1036.00,,5353.00,,38229.00,,,5.22,74.99,4.20,,1844.00,,,0.00,2961.00,40.74,393.22
2010Q3,2733.00,,11.00,,1030.00,,,9.18,1179.00,,5685.00,,32023.00,,,3.45,73.26,5.40,,2014.00,,,0.00,3966.00,42.87,383.67
2010Q2,2494.00,,12.00,,1161.00,,,8.21,1459.00,,5859.00,,31267.00,,,5.85,69.72,5.40,,1868.00,,,0.00,4032.00,41.53,385.58
2010Q1,2411.00,,13.00,,1292.00,,,8.15,1329.00,,5526.00,,17939.00,,,10.46,51.90,5.40,,1781.00,,,0.00,4032.00,43.49,369.01
2009Q4,2150.00,,14.00,,1423.00,,,8.04,1301.00,,7288.00,,17216.00,,,10.09,40.19,5.40,,,,,0.00,3175.00,43.77,338.38
2009Q3,2169.00,,14.00,,1414.00,,,10.19,1965.00,,7171.00,,15728.00,,,11.46,39.12,1.70,,,,,0.00,3181.00,41.99,344.63
2009Q2,1890.00,,14.00,,1406.00,,,10.05,873.00,,6302.00,,15332.00,,,24.07,42.07,1.70,,,,,0.00,3224.00,36.97,323.97
2009Q1,1304.00,,14.00,,1398.00,,,10.29,873.00,,5569.00,,14296.00,,,20.54,53.75,1.70,,,,,0.00,4271.00,36.17,267.66
2008Q4,1137.00,,14.00,,1390.00,,,9.14,1104.00,,2504.00,,15538.00,,,25.80,227.86,1.70,,,,,0.00,5178.00,37.48,264.90
2008Q3,1314.00,,11.00,,1346.00,,,9.75,1341.00,,2554.00,,15249.00,,,30.21,52.54,2.00,,,,,0.00,4984.00,45.70,224.75
2008Q2,1220.00,,8.00,,1301.00,,,12.07,1422.00,,2499.00,,15894.00,,,20.62,51.69,2.00,,,,,0.00,4296.00,51.03,243.56
2008Q1,1182.00,,5.00,,1257.00,,,13.72,1560.00,,2536.00,,12762.00,,,16.92,61.43,2.00,,,,,0.00,4400.00,39.44,252.82
2007Q4,1109.00,,2.00,,1212.00,,,15.22,2106.00,,3844.00,,12005.00,,,14.74,61.76,2.00,,,,,0.00,3943.00,35.12,238.63
2007Q3,971.00,,0.00,,1080.00,,,15.58,1774.00,,3781.00,,11939.00,,,8.04,72.34,2.00,,,,,0.00,3357.00,32.76,216.21
2007Q2,913.00,,0.00,,819.00,,,15.88,1615.00,,3734.00,,15130.00,,,10.05,70.08,2.00,,,,,0.00,3439.00,36.38,207.09
2007Q1,903.00,,0.00,,813.00,,,13.79,1390.00,,3891.00,,16189.00,,,2.87,64.61,2.00,,,,,0.00,5432.00,31.82,198.07
2006Q4,861.00,,0.00,,680.00,,,13.25,1776.00,,4009.00,,17176.00,,,8.14,61.90,2.00,,,,,,8003.00,33.53,168.33
