Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=2e368df4bb24445326d3b27a6a9c31f0&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=F&INSTR_ASSET.252=F4&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T
2015Q4,0.00,-99.06,0.00,0.00,-51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24247.00,0.00,-37.00,0.00,0.00,2.40,23.72,0.00,0.00,-37.28,0.00,-585.00,-50.79,0.00
2015Q3,0.00,-99.06,0.00,0.00,-49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24246.00,0.00,-142.00,0.00,0.00,-26.40,-299.13,0.00,0.00,-137.28,0.00,-343.00,-6.25,0.00
2015Q2,0.00,-99.06,0.00,0.00,-48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24247.00,0.00,-102.00,0.00,0.00,-0.50,40.07,0.00,0.00,262.72,0.00,-714.00,29.38,0.93
2015Q1,0.00,-99.06,0.00,0.00,-49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24247.00,0.00,-89.00,0.00,0.00,-12.30,37.58,0.00,0.00,-637.28,0.00,-760.00,8.22,-0.69
2014Q4,0.00,-0.05,0.00,0.00,-2157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11176.00,0.00,67.00,0.00,0.00,-33.50,115.98,-27.00,0.00,76.70,0.00,98.00,-40.60,0.20
2014Q3,0.00,-0.05,0.00,0.00,-1164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11172.00,0.00,0.00,0.00,0.00,-52.90,23.10,-28.00,0.00,57.78,0.00,-267.00,4.52,-0.13
2014Q2,0.00,-0.05,0.00,0.00,-155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11173.00,0.00,-42.00,0.00,0.00,-38.90,17.07,-28.00,0.00,421.15,0.00,165.00,17.50,0.15
2014Q1,0.00,-0.05,0.00,0.00,-1158.00,0.00,0.00,0.00,0.00,-28.00,0.00,0.00,11173.00,0.00,-27.00,0.00,0.00,-16.30,11.20,-28.00,0.00,231.50,0.00,1647.00,17.09,-0.10
2013Q4,0.00,20.78,0.00,0.00,4914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3600.00,0.00,129.00,0.00,0.00,-20.20,5.90,-8.00,0.00,-21.05,0.00,487.00,-24.17,-0.07
2013Q3,0.00,20.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3600.00,0.00,133.00,0.00,0.00,-30.90,40.08,-12.00,0.00,-339.96,0.00,-504.00,-7.60,0.00
2013Q2,0.00,20.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3600.00,0.00,128.00,0.00,0.00,-22.10,3.55,-12.00,0.00,-643.97,0.00,505.00,12.61,0.92
2013Q1,0.00,20.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3600.00,0.00,61.00,0.00,0.00,53.20,7.08,-13.00,0.00,-724.43,0.00,1981.00,38.03,-1.06
2012Q4,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,12050.00,0.00,-214.00,0.00,0.00,2.10,12.72,-33.00,0.00,1099.63,0.00,-847.00,-28.68,0.03
2012Q3,0.00,1.71,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,12050.00,0.00,-235.00,0.00,0.00,-14.20,-7.62,-37.00,0.00,1304.26,0.00,-802.00,9.50,-0.26
2012Q2,0.00,1.71,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,12050.00,0.00,-261.00,0.00,0.00,15.60,19.14,-37.00,0.00,133.44,0.00,-174.00,44.83,0.03
2012Q1,0.00,1.71,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,12050.00,0.00,-277.00,0.00,0.00,-541.90,18.42,-37.00,0.00,-653.00,0.00,6174.00,13.34,1.10
2011Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13775.00,0.00,-73.00,0.00,0.00,211.40,15.45,-66.00,0.00,419.35,0.00,-1608.00,-32.07,-1.18
2011Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13775.00,0.00,-101.00,0.00,0.00,26.30,-142.57,-67.00,0.00,28.12,0.00,-507.00,0.75,-1.07
2011Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13775.00,0.00,-146.00,0.00,0.00,0.00,15.33,-66.00,0.00,-209.76,0.00,-93.00,2.91,2.63
2011Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13775.00,0.00,-160.00,0.00,0.00,-98.90,15.76,-66.00,0.00,1407.73,0.00,2208.00,-36.56,-1.95
2010Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,26650.00,0.00,161.00,0.00,0.00,1.30,17.30,-31.00,0.00,2888.12,0.00,-914.00,-16.39,2.54
2010Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,26650.00,0.00,95.00,0.00,0.00,0.00,30.90,-31.00,0.00,1648.02,0.00,-338.00,3.47,-7.60
2010Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,26650.00,0.00,28.00,0.00,0.00,0.00,18.92,-31.00,0.00,438.21,0.00,-371.00,34.94,5.26
2010Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,32550.00,0.00,-46.00,0.00,0.00,0.00,19.07,-31.00,0.00,-109.98,0.00,3005.00,38.62,5.50
2009Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-3.00,0.00,0.00,18650.00,0.00,118.00,0.00,0.00,7.40,18.90,20.00,0.00,-591.42,0.00,-765.00,-18.48,6.70
2009Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-3.00,0.00,0.00,11550.00,0.00,35.00,0.00,0.00,0.10,77.33,145.00,0.00,-164.92,0.00,21.00,2.18,5.63
2009Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-3.00,0.00,0.00,11550.00,0.00,-25.00,0.00,0.00,-0.20,18.47,42.00,0.00,-173.49,0.00,-551.00,15.06,0.08
2009Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-3.00,0.00,0.00,11550.00,0.00,110.00,0.00,0.00,-0.10,19.89,44.00,0.00,1588.21,0.00,397.00,68.58,-6.46
2008Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,16375.00,0.00,110.00,0.00,0.00,2.30,20.82,0.00,0.00,-345.31,0.00,1038.00,25.32,40.15
2008Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,3375.00,0.00,27.00,0.00,0.00,0.00,-37.27,0.00,0.00,-225.22,0.00,246.00,33.86,2.68
2008Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,16375.00,0.00,-14.00,0.00,0.00,0.00,23.68,0.00,0.00,1101.69,0.00,512.00,30.18,2.68
2008Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00,16375.00,0.00,118.00,0.00,0.00,0.00,21.28,0.00,0.00,547.22,0.00,3828.00,4.78,3.53
