Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=b08eb16bb96898e608befcdae8a89a31&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=LE&INSTR_ASSET.252=F4&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T
2015Q4,0.00,19.81,0.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1503195.00,0.00,12568.00,0.00,0.00,357.00,904.10,1534.00,0.00,17079.29,0.00,26144.00,816.40,132.28
2015Q3,0.00,118.87,0.00,0.00,134.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1478948.00,0.00,12605.00,0.00,0.00,352.60,880.38,1534.00,0.00,17116.58,0.00,26729.00,869.37,132.28
2015Q2,0.00,217.92,0.00,0.00,183.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1454702.00,0.00,12746.00,0.00,0.00,379.90,1179.51,1534.00,0.00,17253.86,0.00,27072.00,877.87,132.28
2015Q1,0.00,316.98,0.00,0.00,231.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1430455.00,0.00,12848.00,0.00,0.00,355.80,1139.44,1534.00,0.00,16991.15,0.00,27786.00,850.63,131.35
2014Q4,0.00,416.03,0.00,0.00,280.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1406208.00,0.00,12937.00,0.00,0.00,349.00,1101.86,1534.00,0.00,18383.23,0.00,28546.00,851.91,132.03
2014Q3,0.00,416.08,0.00,0.00,2437.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1273318.00,0.00,12870.00,0.00,0.00,381.20,985.88,1561.00,0.00,18306.53,0.00,28447.00,909.85,131.83
2014Q2,0.00,416.14,0.00,0.00,3601.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1262146.00,0.00,12870.00,0.00,0.00,430.40,962.79,1589.00,0.00,18248.74,0.00,28715.00,894.09,131.96
2014Q1,0.00,416.19,0.00,0.00,3756.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1250973.00,0.00,12912.00,0.00,0.00,470.80,945.72,1617.00,0.00,17827.59,0.00,28550.00,878.80,131.80
2013Q4,0.00,416.24,0.00,0.00,4914.00,0.00,0.00,0.00,0.00,28.00,7824.00,0.00,1239800.00,0.00,12939.00,0.00,0.00,542.20,934.52,1645.00,0.00,17596.08,0.00,26903.00,881.43,131.91
2013Q3,0.00,395.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,7824.00,0.00,1236200.00,0.00,12810.00,0.00,0.00,556.60,928.62,1653.00,0.00,17617.12,0.00,26416.00,910.09,131.97
2013Q2,0.00,374.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,7824.00,0.00,1232600.00,0.00,12676.00,0.00,0.00,586.80,888.53,1665.00,0.00,17957.06,0.00,26920.00,920.01,131.97
2013Q1,0.00,353.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,7824.00,0.00,1229000.00,0.00,12548.00,0.00,0.00,603.20,884.98,1677.00,0.00,18601.02,0.00,26415.00,918.16,131.05
2012Q4,0.00,333.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,7824.00,0.00,1225400.00,0.00,12487.00,0.00,0.00,550.00,877.89,1690.00,0.00,19293.29,0.00,24434.00,882.57,132.11
2012Q3,0.00,331.40,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1213350.00,0.00,12701.00,0.00,0.00,545.80,865.17,1723.00,0.00,18193.65,0.00,25280.00,913.66,132.07
2012Q2,0.00,329.69,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1201300.00,0.00,12936.00,0.00,0.00,560.00,872.79,1760.00,0.00,16889.36,0.00,26082.00,906.77,132.33
2012Q1,0.00,327.97,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1189250.00,0.00,13197.00,0.00,0.00,548.70,853.65,1797.00,0.00,16755.92,0.00,26256.00,864.31,132.30
2011Q4,0.00,326.26,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1177200.00,0.00,13474.00,0.00,0.00,1090.60,835.23,1834.00,0.00,17436.70,0.00,20082.00,830.71,131.20
2011Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1163425.00,0.00,13547.00,0.00,0.00,879.10,819.78,1900.00,0.00,17017.35,0.00,21690.00,882.75,132.38
2011Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1149650.00,0.00,13648.00,0.00,0.00,852.90,962.35,1967.00,0.00,16989.22,0.00,22197.00,884.15,133.45
2011Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1135875.00,0.00,13794.00,0.00,0.00,852.90,947.02,2033.00,0.00,17198.97,0.00,22290.00,892.64,130.83
2010Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1122100.00,0.00,13954.00,0.00,0.00,951.80,931.26,2099.00,0.00,15791.23,0.00,20082.00,1027.21,132.77
2010Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1095450.00,0.00,13793.00,0.00,0.00,16.50,913.95,2130.00,0.00,12903.11,0.00,20996.00,1037.02,130.23
2010Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1068800.00,0.00,13699.00,0.00,0.00,16.50,883.06,2161.00,0.00,11255.09,0.00,21335.00,1053.34,137.83
2010Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1042150.00,0.00,13671.00,0.00,0.00,16.50,864.14,2192.00,0.00,10816.89,0.00,21705.00,1027.46,132.57
2009Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,7824.00,0.00,1009600.00,0.00,13717.00,0.00,0.00,16.50,845.07,2223.00,0.00,10926.87,0.00,18701.00,992.04,127.07
2009Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,24.00,7824.00,0.00,990950.00,0.00,13599.00,0.00,0.00,9.10,826.17,2203.00,0.00,11518.29,0.00,19465.00,1013.59,120.37
2009Q2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,27.00,7824.00,0.00,979400.00,0.00,13564.00,0.00,0.00,9.00,748.84,2058.00,0.00,11683.22,0.00,19444.00,1004.83,114.74
2009Q1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,29.00,7824.00,0.00,967850.00,0.00,13589.00,0.00,0.00,9.20,730.36,2016.00,0.00,11856.71,0.00,19996.00,992.91,114.66
2008Q4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,32.00,7824.00,0.00,956300.00,0.00,13479.00,0.00,0.00,9.30,710.47,1972.00,0.00,10268.51,0.00,19599.00,927.30,121.12
2008Q3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,31.00,7824.00,0.00,939925.00,0.00,13369.00,0.00,0.00,7.00,689.65,1972.00,0.00,10613.81,0.00,18560.00,904.95,80.97
