Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=444dc78d2fcb17f3a760edd15fae71fe&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=F&INSTR_ASSET.252=F3&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T
2016Q1,74.00,-40.81,-2.00,0.00,636.00,721.00,292.00,1.48,-137.00,45.00,231.00,0.06,759.00,1.00,-18.00,0.02,62.54,0.40,-2.33,-9.00,-84.10,-64.27,0.00,-756.00,4.11,31.29
2015Q4,65.00,-148.84,2.00,-1.70,-982.00,-83.00,100.00,0.00,-355.00,106.00,-9.00,0.00,-4927.00,3.00,2.00,-9.67,21.00,1.40,36.48,-3.00,76.56,55.10,0.00,724.00,-2.79,31.44
2015Q3,2.00,46.84,1.00,-0.10,349.00,23.00,189.00,0.00,106.00,-119.00,-169.00,0.00,123.00,0.00,-492.00,-0.55,10.51,0.80,-1.53,-4.00,186.73,-84.57,0.00,723.00,1.96,8.31
2015Q2,-129.00,-275.43,1.00,0.00,1989.00,283.00,36.00,0.00,-214.00,-54.00,55.00,0.05,-1204.00,0.00,-175.00,-0.17,5.15,1.60,0.78,-26.00,-14.15,-370.27,0.00,700.00,2.30,21.10
2015Q1,-36.00,-148.38,1.00,-35.20,-917.00,196.00,-903.00,0.00,-340.00,-7.00,37.00,-0.01,3755.00,0.00,-1854.00,0.12,5.07,0.20,0.08,-16.00,192.08,-257.37,0.00,719.00,5.17,39.02
2014Q4,-239.00,-574.67,-1.00,-0.40,1265.00,-209.00,-145.00,0.00,-26.00,-21.00,-47.00,0.02,1946.00,0.00,-719.00,-0.58,-8.50,-7.40,-6.06,-67.00,-20.06,-403.35,0.00,115.00,2.85,39.02
2014Q3,-147.00,-76.74,0.00,0.30,3275.00,-93.00,-64.00,0.00,-1344.00,-13.00,-2274.00,0.00,1412.00,0.00,0.00,0.87,9.30,5.80,0.88,-62.00,-13.71,22.99,0.00,111.00,-4.91,27.34
2014Q2,-53.00,-132.29,0.00,-1.90,5105.00,295.00,-37.00,0.00,-180.00,-67.00,-453.00,-1.16,-7985.00,0.00,-352.00,0.60,-0.94,0.60,35.86,-74.00,-9.01,81.11,0.00,109.00,-6.50,-0.80
2014Q1,87.00,-117.34,-1.00,-0.30,2264.00,87.00,14.00,0.00,-48.00,397.00,-217.00,0.17,81.00,-1.00,-352.00,3.47,5.97,0.60,-0.36,-131.00,-12.12,-37.10,0.00,109.00,5.63,4.69
2013Q4,-24.00,344.20,0.00,-3.20,5257.00,-35.00,-464.00,0.00,1206.00,24.00,-51.00,0.00,-1418.00,0.00,64.00,8.33,-11.10,0.30,0.18,-86.00,-7.42,-100.83,0.00,4.00,1.88,1.61
2013Q3,-24.00,,0.00,0.00,1375.00,798.00,227.00,,69.00,34.00,-195.00,0.00,1339.00,,716.00,0.00,7.98,0.20,,-90.00,53.27,,0.00,2.00,1.15,4.55
2013Q2,273.00,,0.00,0.00,1833.00,-86.00,-33.00,,-171.00,-23.00,-108.00,0.00,-710.00,,1742.00,0.00,-7.65,0.90,,-252.00,-34.85,,0.00,1.00,1.25,-4.72
2013Q1,109.00,,0.00,28.30,1447.00,531.00,-3068.00,,-746.00,44.00,-247.00,0.00,-2087.00,,-437.00,0.03,0.80,5.30,,-108.00,-53.65,,0.00,3.00,-4.36,42.29
2012Q4,93.00,,-6.00,-34.70,11986.00,,-296.00,,2430.00,70.00,45.00,0.00,6409.00,,297.00,-4.59,10.82,1.60,,-150.00,,,0.00,36.00,5.04,-17.78
2012Q3,290.00,,0.00,,3263.00,,,,-755.00,54.00,-168.00,,-1291.00,,-12.00,0.48,8.80,0.30,,-91.00,,,0.00,37.00,-0.52,-25.06
2012Q2,157.00,,0.00,,1171.00,,,,989.00,53.00,40.00,,-8717.00,,29.00,0.04,4.09,0.90,,-162.00,,,0.00,37.00,-5.26,-6.18
2012Q1,159.00,,0.00,,776.00,,,,395.00,8.00,32.00,,-3483.00,,171.00,-1.27,6.04,0.00,,-35.00,,,0.00,38.00,-1.97,-12.82
2011Q4,106.00,,-1.00,,-73.00,,,,334.00,,52.00,,-3755.00,,,0.23,6.47,0.20,,109.00,,,0.00,80.00,3.42,-7.49
2011Q3,98.00,,2.00,,75.00,,,,-232.00,,-101.00,,11964.00,,,0.00,2.20,0.00,,-40.00,,,0.00,81.00,-5.66,-5.19
2011Q2,124.00,,-1.00,,-219.00,,,,-593.00,,19.00,,-178.00,,,-2.63,0.19,0.00,,436.00,,,0.00,81.00,-1.37,15.35
2011Q1,199.00,,-1.00,,-1157.00,,,,191.00,,-788.00,,2200.00,,,0.00,-0.04,-4.20,,-112.00,,,0.00,81.00,-1.92,9.40
2010Q4,90.00,,-1.00,,5395.00,,,,-134.00,,-165.00,,6254.00,,,3.19,2.91,-1.20,,-146.00,,,0.00,0.00,-2.42,9.55
2010Q3,224.00,,-1.00,,-131.00,,,,-275.00,,-255.00,,484.00,,,-0.93,3.56,0.00,,146.00,,,0.00,-66.00,1.32,-1.91
2010Q2,63.00,,-1.00,,-131.00,,,,155.00,,297.00,,698.00,,,-2.22,2.46,0.00,,92.00,,,0.00,0.00,-2.00,16.57
2010Q1,207.00,,-1.00,,-131.00,,,,25.00,,-1852.00,,80.00,,,0.32,11.25,0.00,,-156.00,,,0.00,0.00,-0.71,30.63
2009Q4,-25.00,,0.00,,9.00,,,,-582.00,,80.00,,1880.00,,,-1.24,2.79,3.70,,,,,0.00,0.00,1.61,-6.25
2009Q3,122.00,,-5.00,,8.00,,,,1046.00,,599.00,,-3.00,,,-8.18,25.53,0.00,,,,,0.00,-91.00,5.10,20.66
2009Q2,460.00,,0.00,,8.00,,,,1.00,,616.00,,237.00,,,2.48,-0.50,0.00,,,,,0.00,-1138.00,0.89,56.31
2009Q1,185.00,,1.00,,8.00,,,,-239.00,,2943.00,,-723.00,,,-5.12,-176.71,0.00,,,,,0.00,-62.00,-0.15,2.77
2008Q4,-122.00,,3.00,,44.00,,,,-230.00,,-102.00,,768.00,,,-2.16,176.53,-0.30,,,,,0.00,287.00,-8.08,40.15
2008Q3,127.00,,-2.00,,45.00,,,,62.00,,62.00,,-912.00,,,5.73,0.23,0.00,,,,,0.00,568.00,-5.28,-18.81
2008Q2,40.00,,3.00,,44.00,,,,-524.00,,22.00,,3132.00,,,2.60,-9.38,0.00,,,,,0.00,-7.00,11.59,-9.26
2008Q1,77.00,,3.00,,45.00,,,,-146.00,,-1426.00,,757.00,,,1.17,1.83,0.00,,,,,0.00,1015.00,4.32,14.18
2007Q4,149.00,,2.00,,132.00,,,,490.00,,274.00,,66.00,,,6.55,-10.11,0.00,,,,,0.00,609.00,2.48,22.43
2007Q3,58.00,,0.00,,261.00,,,,207.00,,60.00,,-3191.00,,,-0.28,2.74,0.00,,,,,0.00,-134.00,-3.51,9.11
2007Q2,23.00,,0.00,,6.00,,,,161.00,,-97.00,,-1059.00,,,1.47,5.96,0.00,,,,,0.00,-2004.00,4.62,9.02
2007Q1,28.00,,0.00,,133.00,,,,-22.00,,-93.00,,-987.00,,,-2.04,2.89,0.00,,,,,0.00,-134.00,-1.43,29.74
2006Q4,101.00,,,,-175.00,,,,180.00,,-114.00,,-39.00,,,0.47,7.90,-0.40,,,,,,-359.00,5.66,-4.48
2006Q3,49.00,,,,-171.00,,,,-147.00,,38.00,,-1872.00,,,1.25,4.07,0.00,,,,,,-458.00,-2.19,-54.66
